title,release_date,budget,revenue,ganancia,anio,mes,dia,dia_semana,key
Lust for Life,1956-09-15,0,0,0,1956,Septiembre,15,Sabado,8589937154
La Dolce Vita,1960-02-05,0,19516000,19516000,1960,Febrero,05,Viernes,8589937155
Jin-Roh: The Wolf Brigade,1999-11-17,0,0,0,1999,Noviembre,17,Miercoles,8589937156
Rush,1991-12-22,0,0,0,1991,Diciembre,22,Domingo,8589937157
Captain Blood,1935-12-19,0,0,0,1935,Diciembre,19,Jueves,8589937158
The Lift,1983-05-11,350000,0,-350000,1983,Mayo,11,Miercoles,8589937159
Batteries not Included,1987-12-18,0,65088797,65088797,1987,Diciembre,18,Viernes,8589937160
Educating Rita,1983-09-21,0,0,0,1983,Septiembre,21,Miercoles,8589937161
On Moonlight Bay,1951-07-26,0,0,0,1951,Julio,26,Jueves,8589937162
Sansho the Bailiff,1954-03-31,0,0,0,1954,Marzo,31,Miercoles,8589937163
Zazie dans le métro,1960-10-28,0,0,0,1960,Octubre,28,Viernes,8589937164
"[{'iso_639_1': 'en', 'name': 'English'}]",,0,0,0,,,,,8589937165
Anne of the Thousand Days,1969-12-18,0,0,0,1969,Diciembre,18,Jueves,8589937166
0,,0,1,1,,,,,8589937167
L'Avventura,1960-05-15,0,0,0,1960,Mayo,15,Domingo,8589937168
Beyond the Valley of the Dolls,1970-07-17,2090000,40000000,37910000,1970,Julio,17,Viernes,8589937169
Hiroshima Mon Amour,1959-06-10,0,0,0,1959,Junio,10,Miercoles,8589937170
"The 1,000 Eyes of Dr. Mabuse",1960-09-13,0,0,0,1960,Septiembre,13,Martes,8589937171
Ugetsu,1953-03-26,0,0,0,1953,Marzo,26,Jueves,8589937172
At Play in the Fields of the Lord,1991-12-06,36000000,1345903,-34654097,1991,Diciembre,06,Viernes,8589937173
The Golden Coach,1952-12-05,0,0,0,1952,Diciembre,05,Viernes,8589937174
,,0,0,0,,,,,8589937175
,,0,8,8,,,,,8589937176
0,,0,2,2,,,,,8589937177
The Day of the Jackal,1973-05-15,0,0,0,1973,Mayo,15,Martes,8589937178
The Razor's Edge,1946-11-19,0,0,0,1946,Noviembre,19,Martes,8589937179
The Walking Dead,1936-03-14,0,0,0,1936,Marzo,14,Sabado,8589937180
War of the Buttons,1994-09-29,0,0,0,1994,Septiembre,29,Jueves,8589937181
The Other,1972-05-23,0,0,0,1972,Mayo,23,Martes,8589937182
Dexter the Dragon & Bumble the Bear,1983-02-03,0,0,0,1983,Febrero,03,Jueves,8589937183
Night of the Living Dead,1990-10-18,4200000,5835247,1635247,1990,Octubre,18,Jueves,8589937184
Drums Along the Mohawk,1939-11-03,0,0,0,1939,Noviembre,03,Viernes,8589937185
The Maltese Falcon,1931-06-13,0,0,0,1931,Junio,13,Sabado,8589937186
I Love You Again,1940-08-09,0,0,0,1940,Agosto,09,Viernes,8589937187
Safety Last!,1923-04-01,0,623,623,1923,Abril,01,Domingo,8589937188
While the City Sleeps,1956-05-30,0,0,0,1956,Mayo,30,Miercoles,8589937189
The Way Ahead,1944-06-09,0,0,0,1944,Junio,09,Viernes,8589937190
"[{'iso_639_1': 'en', 'name': 'English'}]",,0,0,0,,,,,8589937191
Viridiana,1961-05-17,0,0,0,1961,Mayo,17,Miercoles,8589937192
Totally Fucked Up,1993-01-12,0,0,0,1993,Enero,12,Martes,8589937193
Masterminds,1997-08-22,0,0,0,1997,Agosto,22,Viernes,8589937194
2.134702,,0,0,0,,,,,8589937195
Released,,0,0,0,,,,,8589937196
Arizona Dream,1993-01-06,19000000,0,-19000000,1993,Enero,06,Miercoles,8589937197
Chaos,2000-06-30,0,0,0,2000,Junio,30,Viernes,8589937198
Queen Christina,1933-12-26,1114000,2610000,1496000,1933,Diciembre,26,Martes,8589937199
"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",,0,0,0,,,,,8589937200
Citizen Toxie: The Toxic Avenger IV,2001-11-01,500000,0,-500000,2001,Noviembre,01,Jueves,8589937201
Hooper,1978-07-28,0,78000000,78000000,1978,Julio,28,Viernes,8589937202
The Crazy Stranger,1997-08-10,0,0,0,1997,Agosto,10,Domingo,8589937203
3 Women,1977-04-03,1500000,0,-1500000,1977,Abril,03,Domingo,8589937204
The Green Pastures,1936-08-01,0,0,0,1936,Agosto,01,Sabado,8589937205
Take Me Out to the Ball Game,1949-03-09,0,0,0,1949,Marzo,09,Miercoles,8589937206
Grey Gardens,1975-09-27,0,0,0,1975,Septiembre,27,Sabado,8589937207
Frogs,1972-03-10,0,0,0,1972,Marzo,10,Viernes,8589937208
Purple Rain,1984-07-27,7200000,68392977,61192977,1984,Julio,27,Viernes,8589937209
Signs of Life,1968-07-05,0,0,0,1968,Julio,05,Viernes,8589937210
Point of No Return,1993-03-19,0,0,0,1993,Marzo,19,Viernes,8589937211
Short Time,1990-05-04,0,0,0,1990,Mayo,04,Viernes,8589937212
The Hairdresser's Husband,1990-10-03,0,0,0,1990,Octubre,03,Miercoles,8589937213
Cromwell,1970-09-16,3750000,0,-3750000,1970,Septiembre,16,Miercoles,8589937214
Jamon Jamon,1992-09-03,0,0,0,1992,Septiembre,03,Jueves,8589937215
College,1927-09-10,0,0,0,1927,Septiembre,10,Sabado,8589937216
Mitchell,1975-09-10,0,0,0,1975,Septiembre,10,Miercoles,8589937217
Ten Little Indians,1965-09-09,0,0,0,1965,Septiembre,09,Jueves,8589937218
The Idiot,1951-05-23,0,0,0,1951,Mayo,23,Miercoles,8589937219
Used People,1992-12-16,0,0,0,1992,Diciembre,16,Miercoles,8589937220
The Swan,1956-04-26,0,0,0,1956,Abril,26,Jueves,8589937221
The Most Dangerous Game,1932-09-16,200000,0,-200000,1932,Septiembre,16,Viernes,8589937222
The Front Page,1931-04-04,0,0,0,1931,Abril,04,Sabado,8589937223
Dolls,2002-09-05,0,0,0,2002,Septiembre,05,Jueves,8589937224
Three Came Home,1950-02-20,0,0,0,1950,Febrero,20,Lunes,8589937225
Our Man in Havana,1959-12-30,0,0,0,1959,Diciembre,30,Miercoles,8589937226
The Man Who Came to Dinner,1942-01-24,0,0,0,1942,Enero,24,Sabado,8589937227
Sunday Bloody Sunday,1971-07-01,0,0,0,1971,Julio,01,Jueves,8589937228
The Cowboys,1972-01-13,6000000,7500000,1500000,1972,Enero,13,Jueves,8589937229
Released,,0,0,0,,,,,8589937230
The Major and the Minor,1942-09-16,0,0,0,1942,Septiembre,16,Miercoles,8589937231
The Caine Mutiny,1954-06-24,2000000,21750000,19750000,1954,Junio,24,Jueves,8589937232
Black Narcissus,1947-01-01,424000,0,-424000,1947,Enero,01,Miercoles,8589937233
H.M.S. Defiant,1962-04-15,0,0,0,1962,Abril,15,Domingo,8589937234
No one has ever escaped from Alcatraz...and no one ever will!,,8000000,0,-8000000,,,,,8589937235
Oliver Twist,1948-06-28,0,0,0,1948,Junio,28,Lunes,8589937236
Skokie,1981-11-17,0,0,0,1981,Noviembre,17,Martes,8589937237
Shrek 2,2004-05-19,150000000,919838758,769838758,2004,Mayo,19,Miercoles,8589937238
Where will you be?,,125000000,0,-125000000,,,,,8589937239
Raising Helen,2004-05-27,50000000,49718611,-281389,2004,Mayo,27,Jueves,8589937240
Soul Plane,2004-05-28,16000000,14822346,-1177654,2004,Mayo,28,Viernes,8589937241
365248,,0,4,4,,,,,8589937242
The Mother,2003-01-01,2500000,1062253,-1437747,2003,Enero,01,Miercoles,8589937243
92.0,,0,0,0,,,,,8589937244
Time of the Wolf,2003-08-28,0,0,0,2003,Agosto,28,Jueves,8589937245
Harry Potter and the Prisoner of Azkaban,2004-05-31,130000000,789804554,659804554,2004,Mayo,31,Lunes,8589937246
Mindhunters,2004-05-07,27000000,21148829,-5851171,2004,Mayo,07,Viernes,8589937247
Zatoichi,2003-09-06,0,0,0,2003,Septiembre,06,Sabado,8589937248
The Chronicles of Riddick,2004-06-11,105000000,115772733,10772733,2004,Junio,11,Viernes,8589937249
Garfield,2004-06-10,50000000,200804534,150804534,2004,Junio,10,Jueves,8589937250
The Stepford Wives,2004-06-10,90000000,102000000,12000000,2004,Junio,10,Jueves,8589937251
Bright Future,2003-01-18,0,0,0,2003,Enero,18,Sabado,8589937252
The Hunting of the President,2004-06-20,0,0,0,2004,Junio,20,Domingo,8589937253
Napoleon Dynamite,2004-06-11,400000,46118097,45718097,2004,Junio,11,Viernes,8589937254
He was a man who couldn't care less... until he met a man who couldn't care more.,,27000000,0,-27000000,,,,,8589937255
The Doctor,1991-07-24,12000000,38120905,26120905,1991,Julio,24,Miercoles,8589937256
The Dresser,1983-12-06,0,0,0,1983,Diciembre,06,Martes,8589937257
Father Hood,1993-08-27,0,3418141,3418141,1993,Agosto,27,Viernes,8589937258
For Me and My Gal,1942-10-21,802000,4371000,3569000,1942,Octubre,21,Miercoles,8589937259
Hello Again,1987-11-06,0,20419446,20419446,1987,Noviembre,06,Viernes,8589937260
Hope Springs,2003-05-09,0,0,0,2003,Mayo,09,Viernes,8589937261
Love Finds Andy Hardy,1938-07-22,0,0,0,1938,Julio,22,Viernes,8589937262
Lover Come Back,1961-11-20,0,8,8,1961,Noviembre,20,Lunes,8589937263
Police Academy: Mission to Moscow,1994-06-09,0,126247,126247,1994,Junio,09,Jueves,8589937264
Ring of Bright Water,1969-06-18,0,0,0,1969,Junio,18,Miercoles,8589937265
Big Wednesday,1978-05-26,11000000,0,-11000000,1978,Mayo,26,Viernes,8589937266
Fool for Love,1985-12-06,0,0,0,1985,Diciembre,06,Viernes,8589937267
Give My Regards to Broad Street,1984-11-28,0,0,0,1984,Noviembre,28,Miercoles,8589937268
The Hi-Line,2000-05-05,0,0,0,2000,Mayo,05,Viernes,8589937269
The Last of Sheila,1973-06-14,0,0,0,1973,Junio,14,Jueves,8589937270
,,0,0,0,,,,,8589937271
Star!,1968-07-18,14320000,14000000,-320000,1968,Julio,18,Jueves,8589937272
We're Not Married!,1952-07-11,0,0,0,1952,Julio,11,Viernes,8589937273
Wish You Were Here,1987-07-24,0,0,0,1987,Julio,24,Viernes,8589937274
The Adventures of Sherlock Holmes,1939-09-01,0,0,0,1939,Septiembre,01,Viernes,8589937275
Book of Love,1990-08-03,0,0,0,1990,Agosto,03,Viernes,8589937276
Helen of Troy,1956-01-26,0,0,0,1956,Enero,26,Jueves,8589937277
The Hound of the Baskervilles,1939-03-31,0,0,0,1939,Marzo,31,Viernes,8589937278
Hour of the Wolf,1968-01-01,0,0,0,1968,Enero,01,Lunes,8589937279
The Molly Maguires,1970-01-27,11000000,2200000,-8800000,1970,Enero,27,Martes,8589937280
Suddenly,1954-10-07,0,0,0,1954,Octubre,07,Jueves,8589937281
Urban Ghost Story,1998-07-13,0,0,0,1998,Julio,13,Lunes,8589937282
Possessed,1947-07-26,0,0,0,1947,Julio,26,Sabado,8589937283
Dying of Laughter,1999-03-12,3000000,0,-3000000,1999,Marzo,12,Viernes,8589937284
Kings Row,1942-04-18,0,0,0,1942,Abril,18,Sabado,8589937285
The Kid Brother,1927-01-17,0,0,0,1927,Enero,17,Lunes,8589937286
The Divorcee,1930-04-19,340,0,-340,1930,Abril,19,Sabado,8589937287
Meet the Applegates,1991-02-01,5000000,485772,-4514228,1991,Febrero,01,Viernes,8589937288
Robot Carnival,1987-07-21,0,0,0,1987,Julio,21,Martes,8589937289
Americathon,1979-08-10,0,0,0,1979,Agosto,10,Viernes,8589937290
The Chipmunk Adventure,1987-05-22,0,0,0,1987,Mayo,22,Viernes,8589937291
Sands of Iwo Jima,1949-12-14,1000000,7800000,6800000,1949,Diciembre,14,Miercoles,8589937292
This Island Earth,1955-06-01,800000,0,-800000,1955,Junio,01,Miercoles,8589937293
The ComDads,1983-11-23,0,0,0,1983,Noviembre,23,Miercoles,8589937294
Anthony Adverse,1936-08-29,0,0,0,1936,Agosto,29,Sabado,8589937295
Blackboard Jungle,1955-03-25,0,0,0,1955,Marzo,25,Viernes,8589937296
Moment by Moment,1978-12-22,0,0,0,1978,Diciembre,22,Viernes,8589937297
It Had to Be You,2000-01-01,0,0,0,2000,Enero,01,Sabado,8589937298
{'name': 'VISS',,0,0,0,,,,,8589937299
The Long Way Home,1997-09-19,0,0,0,1997,Septiembre,19,Viernes,8589937300
Investigation of a Citizen Above Suspicion,1970-02-09,0,0,0,1970,Febrero,09,Lunes,8589937301
True Love,1989-09-15,0,0,0,1989,Septiembre,15,Viernes,8589937302
To Each His Own,1946-03-12,0,0,0,1946,Marzo,12,Martes,8589937303
The Heiress,1949-10-06,2600000,0,-2600000,1949,Octubre,06,Jueves,8589937304
State Fair,1945-08-29,0,0,0,1945,Agosto,29,Miercoles,8589937305
Dragon Seed,1944-07-20,0,0,0,1944,Julio,20,Jueves,8589937306
Executive Suite,1954-05-06,0,0,0,1954,Mayo,06,Jueves,8589937307
Johnny Belinda,1948-09-14,0,0,0,1948,Septiembre,14,Martes,8589937308
Super Size Me,2004-01-17,65000,28575078,28510078,2004,Enero,17,Sabado,8589937309
"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",,0,0,0,,,,,8589937310
None But the Lonely Heart,1944-10-17,0,0,0,1944,Octubre,17,Martes,8589937311
La Jetée,1962-02-16,0,0,0,1962,Febrero,16,Viernes,8589937312
,,0,0,0,,,,,8589937313
The King of Kings,1927-01-01,2500000,0,-2500000,1927,Enero,01,Sabado,8589937314
"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",,0,0,0,,,,,8589937315
The Picture of Dorian Gray,1945-03-01,0,0,0,1945,Marzo,01,Jueves,8589937316
The Born Losers,1967-08-18,360000,36000000,35640000,1967,Agosto,18,Viernes,8589937317
The Human Condition I: No Greater Love,1959-01-15,0,0,0,1959,Enero,15,Jueves,8589937318
Samsara,2001-01-01,3000000,0,-3000000,2001,Enero,01,Lunes,8589937319
Bachelor Mother,1939-06-30,0,0,0,1939,Junio,30,Viernes,8589937320
Please Don't Eat the Daisies,1960-03-31,0,0,0,1960,Marzo,31,Jueves,8589937321
Siddhartha,1972-08-01,0,0,0,1972,Agosto,01,Martes,8589937322
White Heat,1949-09-02,0,0,0,1949,Septiembre,02,Viernes,8589937323
Scrooge,1951-10-31,0,0,0,1951,Octubre,31,Miercoles,8589937324
"[{'iso_639_1': 'en', 'name': 'English'}]",,23000000,0,-23000000,,,,,8589937325
The Cincinnati Kid,1965-10-15,0,15260000,15260000,1965,Octubre,15,Viernes,8589937326
Animal Factory,2000-08-01,0,0,0,2000,Agosto,01,Martes,8589937327
The Panic in Needle Park,1971-07-13,1645000,0,-1645000,1971,Julio,13,Martes,8589937328
Pretty Baby,1978-04-05,0,0,0,1978,Abril,05,Miercoles,8589937329
Godzilla vs. Mechagodzilla,1974-03-20,0,0,0,1974,Marzo,20,Miercoles,8589937330
The Hitcher,1986-02-21,6000000,5844868,-155132,1986,Febrero,21,Viernes,8589937331
Show Boat,1951-07-13,2300000,11000000,8700000,1951,Julio,13,Viernes,8589937332
Ivanhoe,1952-01-01,0,0,0,1952,Enero,01,Martes,8589937333
Box of Moonlight,1996-08-29,0,0,0,1996,Agosto,29,Jueves,8589937334
Released,,0,0,0,,,,,8589937335
Fear X,2003-01-13,0,0,0,2003,Enero,13,Lunes,8589937336
Freaks,1932-02-20,0,0,0,1932,Febrero,20,Sabado,8589937337
The Immigrant,1917-06-17,0,0,0,1917,Junio,17,Domingo,8589937338
Silent Movie,1976-06-17,0,0,0,1976,Junio,17,Jueves,8589937339
A Matter of Life and Death,1946-08-22,0,0,0,1946,Agosto,22,Jueves,8589937340
Anna Christie,1930-02-21,0,0,0,1930,Febrero,21,Viernes,8589937341
It Lives By Night,1974-01-15,0,0,0,1974,Enero,15,Martes,8589937342
Deep Cover,1992-04-15,0,0,0,1992,Abril,15,Miercoles,8589937343
Dr. Jekyll and Mr. Hyde,1931-12-31,0,0,0,1931,Diciembre,31,Jueves,8589937344
My Little Chickadee,1940-02-09,0,0,0,1940,Febrero,09,Viernes,8589937345
The High and the Mighty,1954-07-03,0,0,0,1954,Julio,03,Sabado,8589937346
A HAPPY HONEYMOON GOES TO THE DOGS!...When a Great Dane disguised as a Dachsie crashes the party!,,0,0,0,,,,,8589937347
Around the World in 80 Days,2004-06-16,110000000,72178895,-37821105,2004,Junio,16,Miercoles,8589937348
I'll Sleep When I'm Dead,2003-05-14,0,490964,490964,2003,Mayo,14,Miercoles,8589937349
DodgeBall: A True Underdog Story,2004-06-18,20000000,167722310,147722310,2004,Junio,18,Viernes,8589937350
The Terminal,2004-06-17,60000000,219417255,159417255,2004,Junio,17,Jueves,8589937351
Dear Frankie,2004-05-18,0,0,0,2004,Mayo,18,Martes,8589937352
White Chicks,2004-06-23,37000000,113086475,76086475,2004,Junio,23,Miercoles,8589937353
The Door in the Floor,2004-07-18,0,0,0,2004,Julio,18,Domingo,8589937354
The Notebook,2004-06-25,29000000,115603229,86603229,2004,Junio,25,Viernes,8589937355
Two Brothers,2004-04-07,74500000,62172050,-12327950,2004,Abril,07,Miercoles,8589937356
De-Lovely,2004-07-02,20000000,0,-20000000,2004,Julio,02,Viernes,8589937357
The Intended,2002-06-06,0,0,0,2002,Junio,06,Jueves,8589937358
Kaena: The Prophecy,2003-01-02,0,8500,8500,2003,Enero,02,Jueves,8589937359
Back to Bataan,1945-05-30,0,0,0,1945,Mayo,30,Miercoles,8589937360
"[{'iso_639_1': 'en', 'name': 'English'}]",,4000000,0,-4000000,,,,,8589937361
A Day at the Races,1937-06-11,0,0,0,1937,Junio,11,Viernes,8589937362
Flying Leathernecks,1951-08-28,0,0,0,1951,Agosto,28,Martes,8589937363
"Now You See Him, Now You Don't",1972-07-12,0,0,0,1972,Julio,12,Miercoles,8589937364
Plain Dirty,2003-01-20,0,0,0,2003,Enero,20,Lunes,8589937365
Bob & Carol & Ted & Alice,1969-09-17,2000000,30000000,28000000,1969,Septiembre,17,Miercoles,8589937366
The Littlest Rebel,1935-11-22,0,0,0,1935,Noviembre,22,Viernes,8589937367
"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'sv', 'name': 'svenska'}]",,0,0,0,,,,,8589937368
Will Vinton's Claymation Christmas Celebration,1987-12-21,0,0,0,1987,Diciembre,21,Lunes,8589937369
,,0,0,0,,,,,8589937370
Kops,2003-02-06,0,8,8,2003,Febrero,06,Jueves,8589937371
Comandante,2003-02-14,0,0,0,2003,Febrero,14,Viernes,8589937372
Undead,2003-09-04,0,0,0,2003,Septiembre,04,Jueves,8589937373
The Scarlet and the Black,1983-02-02,0,0,0,1983,Febrero,02,Miercoles,8589937374
Into the Woods,1991-03-15,0,0,0,1991,Marzo,15,Viernes,8589937375
Pirates of Silicon Valley,1999-05-10,0,0,0,1999,Mayo,10,Lunes,8589937376
Manufacturing Consent: Noam Chomsky and the Media,1992-11-06,0,0,0,1992,Noviembre,06,Viernes,8589937377
The Clock,1945-04-25,0,0,0,1945,Abril,25,Miercoles,8589937378
Leave Her to Heaven,1945-12-19,0,0,0,1945,Diciembre,19,Miercoles,8589937379
Rapa Nui,1994-09-09,20000000,305070,-19694930,1994,Septiembre,09,Viernes,8589937380
Roxie Hart,1942-02-20,0,0,0,1942,Febrero,20,Viernes,8589937381
Mayor of the Sunset Strip,2003-06-17,0,0,0,2003,Junio,17,Martes,8589937382
Killing Me Softly,2002-05-10,0,0,0,2002,Mayo,10,Viernes,8589937383
The Winter War,1989-12-30,4414000,0,-4414000,1989,Diciembre,30,Sabado,8589937384
Will you survive?,,21000000,0,-21000000,,,,,8589937385
The Wheeler Dealers,1963-01-01,0,0,0,1963,Enero,01,Martes,8589937386
Juice,1992-01-17,5000000,20146880,15146880,1992,Enero,17,Viernes,8589937387
The Secret Life of Girls,1999-05-29,0,0,0,1999,Mayo,29,Sabado,8589937388
"[{'iso_639_1': 'en', 'name': 'English'}]",,0,0,0,,,,,8589937389
Revenge of the Pink Panther,1978-07-19,0,49579269,49579269,1978,Julio,19,Miercoles,8589937390
Riders,2002-05-08,0,0,0,2002,Mayo,08,Miercoles,8589937391
I Am Dina,2002-03-08,0,0,0,2002,Marzo,08,Viernes,8589937392
"[{'iso_639_1': 'en', 'name': 'English'}]",,0,0,0,,,,,8589937393
Angels with Dirty Faces,1938-11-26,0,0,0,1938,Noviembre,26,Sabado,8589937394
Zero for Conduct,1933-04-07,0,0,0,1933,Abril,07,Viernes,8589937395
Shadows,1959-11-11,0,0,0,1959,Noviembre,11,Miercoles,8589937396
Coming Out,1989-11-08,0,0,0,1989,Noviembre,08,Miercoles,8589937397
Taxi,1998-04-04,0,268254,268254,1998,Abril,04,Sabado,8589937398
Taxi 3,2003-01-29,14500000,65497208,50997208,2003,Enero,29,Miercoles,8589937399
Pull My Daisy,1959-11-11,0,0,0,1959,Noviembre,11,Miercoles,8589937400
Tokyo Godfathers,2003-12-29,0,0,0,2003,Diciembre,29,Lunes,8589937401
The Butcher,1970-02-27,0,0,0,1970,Febrero,27,Viernes,8589937402
Our Hospitality,1923-11-19,0,0,0,1923,Noviembre,19,Lunes,8589937403
All of Me,1984-09-07,0,0,0,1984,Septiembre,07,Viernes,8589937404
The Farmer's Daughter,1947-01-01,0,0,0,1947,Enero,01,Miercoles,8589937405
Lassie Come Home,1943-10-07,0,0,0,1943,Octubre,07,Jueves,8589937406
The Time of Your Life,1948-09-03,0,0,0,1948,Septiembre,03,Viernes,8589937407
Overboard,1987-12-16,1880006,26713187,24833181,1987,Diciembre,16,Miercoles,8589937408
The Mask of Fu Manchu,1932-11-05,0,0,0,1932,Noviembre,05,Sabado,8589937409
By the Light of the Silvery Moon,1953-03-26,0,0,0,1953,Marzo,26,Jueves,8589937410
BUtterfield 8,1960-11-04,0,0,0,1960,Noviembre,04,Viernes,8589937411
Johnny Guitar,1954-05-26,0,0,0,1954,Mayo,26,Miercoles,8589937412
Sister My Sister,1994-07-14,0,0,0,1994,Julio,14,Jueves,8589937413
The degeneration of high society!,,0,0,0,,,,,8589937414
94.0,,0,0,0,,,,,8589937415
Fahrenheit 9/11,2004-06-25,6000000,119114517,113114517,2004,Junio,25,Viernes,8589937416
,,0,0,0,,,,,8589937417
Freedom Downtime,2001-01-01,0,0,0,2001,Enero,01,Lunes,8589937418
The Same River Twice,2003-01-17,0,0,0,2003,Enero,17,Viernes,8589937419
Dr. Terror's House of Horrors,1965-02-23,0,0,0,1965,Febrero,23,Martes,8589937420
Confessions of a Burning Man,2003-10-23,0,0,0,2003,Octubre,23,Jueves,8589937421
Search and Destroy,1995-01-01,4000000,389503,-3610497,1995,Enero,01,Domingo,8589937422
The Book of Life,1998-08-22,0,0,0,1998,Agosto,22,Sabado,8589937423
[],,0,0,0,,,,,8589937424
Hard Times,1975-09-04,2700000,5000000,2300000,1975,Septiembre,04,Jueves,8589937425
Secret Society,2000-10-29,0,4275,4275,2000,Octubre,29,Domingo,8589937426
The Last Starfighter,1984-07-13,15000000,28733290,13733290,1984,Julio,13,Viernes,8589937427
Tank,1984-03-16,0,14134877,14134877,1984,Marzo,16,Viernes,8589937428
Last Cannibal World,1977-02-08,0,0,0,1977,Febrero,08,Martes,8589937429
Spider-Man 2,2004-06-25,200000000,783766341,583766341,2004,Junio,25,Viernes,8589937430
America's Heart and Soul,2004-07-04,0,0,0,2004,Julio,04,Domingo,8589937431
Before Sunset,2004-02-10,2700000,15992615,13292615,2004,Febrero,10,Martes,8589937432
The Clearing,2004-07-02,0,12520799,12520799,2004,Julio,02,Viernes,8589937433
King Arthur,2004-07-07,120000000,203567857,83567857,2004,Julio,07,Miercoles,8589937434
Anchorman: The Legend of Ron Burgundy,2004-07-09,26000000,90574188,64574188,2004,Julio,09,Viernes,8589937435
Sleepover,2004-07-09,0,0,0,2004,Julio,09,Viernes,8589937436
A Cinderella Story,2004-07-10,19000000,70067909,51067909,2004,Julio,10,Sabado,8589937437
"I, Robot",2004-07-15,120000000,347234916,227234916,2004,Julio,15,Jueves,8589937438
Maria Full of Grace,2004-01-18,0,0,0,2004,Enero,18,Domingo,8589937439
Distant Drums,1951-12-25,0,0,0,1951,Diciembre,25,Martes,8589937440
,,0,0,0,,,,,8589937441
The Girl of Your Dreams,1998-11-13,0,0,0,1998,Noviembre,13,Viernes,8589937442
Gray Lady Down,1978-03-10,0,5438927,5438927,1978,Marzo,10,Viernes,8589937443
Long Day's Journey Into Night,1962-10-09,0,0,0,1962,Octubre,09,Martes,8589937444
Man of La Mancha,1972-12-20,0,0,0,1972,Diciembre,20,Miercoles,8589937445
The Night of the Following Day,1968-12-26,0,0,0,1968,Diciembre,26,Jueves,8589937446
Posse,1975-06-04,0,0,0,1975,Junio,04,Miercoles,8589937447
Prince Valiant,1954-04-05,2970000,0,-2970000,1954,Abril,05,Lunes,8589937448
Rustlers' Rhapsody,1985-05-10,0,0,0,1985,Mayo,10,Viernes,8589937449
,,0,0,0,,,,,8589937450
The Tin Star,1957-10-23,0,0,0,1957,Octubre,23,Miercoles,8589937451
Zandalee,1991-05-09,0,0,0,1991,Mayo,09,Jueves,8589937452
80.0,,0,0,0,,,,,8589937453
Academy Award Nominee,,0,0,0,,,,,8589937454
How the West Was Won,1962-11-01,15000000,50000000,35000000,1962,Noviembre,01,Jueves,8589937455
Joan of Arc,1948-12-22,0,0,0,1948,Diciembre,22,Miercoles,8589937456
Sleeper's Louise Wener,,0,0,0,,,,,8589937457
Mr. Klein,1976-05-08,0,0,0,1976,Mayo,08,Sabado,8589937458
The Bourne Supremacy,2004-07-23,75000000,288500217,213500217,2004,Julio,23,Viernes,8589937459
CATch her in IMAX,,100000000,0,-100000000,,,,,8589937460
A Home at the End of the World,2004-07-23,6500000,1548955,-4951045,2004,Julio,23,Viernes,8589937461
Some Girl,1998-04-19,0,0,0,1998,Abril,19,Domingo,8589937462
Stay Hungry,1976-04-23,5000000,24854765,19854765,1976,Abril,23,Viernes,8589937463
The Testament of Dr. Mabuse,1933-04-21,0,0,0,1933,Abril,21,Viernes,8589937464
Zus & Zo,2001-01-01,0,0,0,2001,Enero,01,Lunes,8589937465
Battle Hymn,1957-02-14,0,0,0,1957,Febrero,14,Jueves,8589937466
Crash Dive,1943-04-22,0,0,0,1943,Abril,22,Jueves,8589937467
Disco Pigs,2001-10-05,0,0,0,2001,Octubre,05,Viernes,8589937468
The Enemy Below,1957-12-25,0,0,0,1957,Diciembre,25,Miercoles,8589937469
Fist of the North Star,1995-04-22,7000000,0,-7000000,1995,Abril,22,Sabado,8589937470
Flash Gordon Conquers the Universe,1940-04-09,0,0,0,1940,Abril,09,Martes,8589937471
Guns of the Magnificent Seven,1969-07-14,0,0,0,1969,Julio,14,Lunes,8589937472
The Hunters,1958-09-01,0,0,0,1958,Septiembre,01,Lunes,8589937473
In a Glass Cage,1987-03-03,0,0,0,1987,Marzo,03,Martes,8589937474
Lancelot of the Lake,1974-09-26,0,0,0,1974,Septiembre,26,Jueves,8589937475
The Last Valley,1971-01-28,0,0,0,1971,Enero,28,Jueves,8589937476
The Magnificent Seven Ride!,1972-08-01,3000000,0,-3000000,1972,Agosto,01,Martes,8589937477
A Man Escaped,1956-11-11,0,0,0,1956,Noviembre,11,Domingo,8589937478
The Miracle of Marcelino,1954-02-24,0,0,0,1954,Febrero,24,Miercoles,8589937479
Morituri,1965-08-24,0,0,0,1965,Agosto,24,Martes,8589937480
Orgy of the Dead,1965-01-01,0,0,0,1965,Enero,01,Viernes,8589937481
Shalako,1968-11-06,1455000,2620000,1165000,1968,Noviembre,06,Miercoles,8589937482
A Shock to the System,1990-03-23,0,0,0,1990,Marzo,23,Viernes,8589937483
104.0,,3200000,0,-3200000,,,,,8589937484
